Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
1,1.0,Oakland,94609,Pill Hill,2935,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890 ,502.0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
