Title,Address,Bedrooms,Bathrooms,Rent,Square Footage,Availability,Amenities
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",1 Bed,1 Bath,"$2,430 - 2,875",678 Sq Ft,Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",1 Bed,1 Bath,"$2,510 - 2,865",720 Sq Ft,Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$2,965 - 3,400",951 Sq Ft,Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,037 - 3,400",955 Sq Ft,Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,055 - 3,570","1,145 Sq Ft",Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,160 - 3,510","1,165 Sq Ft",Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,455","1,165 Sq Ft",Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",3 BRs,2 Baths,"$3,540 - 3,785","1,282 Sq Ft",Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",3 BRs,2 Baths,"$3,865 - 3,890","1,357 Sq Ft",Available Now,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,680 - 3,705","1,194 Sq Ft",Not Available,"Attached Garage*, Barbecues and Picnic Area, Bocce Ball Courts, Car Wash, Ceiling Fan, Custom Accent Wall, Custom Accent Wall upon Request, Demo Kitchen, Designer Fixtures and Hardware, Entry Foyer, European-Style Cabinetry, EV Stations, Granite Countertops, Group Fitness, High Performance Fitness Center, In-Home Washer and Dryer, Jogging and Walking Paths, Outdoor Seating, Dining &amp; Fire Pits, Outdoor TV Wall w/ BBQ &amp; Entertainment Center, Oversized Patios*, Pet Spa, Pet-Friendly, Ping Pong, Private Balcony/Patio*, Professional Billiards, Putting Green, Resort-Style Pool and Spa, Spacious Walk-In Closet, Stainless Appliances, Video Gaming Area, Wood-Grain Finish Flooring, $1,000 Deposit, $75 Monthly Pet Rent, 2 Pet Limit, $500 Deposit, $35 Monthly Pet Rent, 2 Pet Limit, Built in 2015, 266 Units/3 Stories, Available months None, Maintenance on site, Business Center, Clubhouse, Spa, Pool, Playground, High Speed Internet Access, Washer/Dryer - In Unit, Ceiling Fans, Cable Ready, Dishwasher, Disposal, Microwave, Walk-In Closets, Balcony, Patio, Property Manager on Site"
